All significant metrics (> 100ms total):
  Iteration_Profiled: total=26731.94, avg=6682.98, count=4
  Iteration_Unprofiled: total=26170.72, avg=6542.68, count=4
  Forward_Backward_Pipeline: total=20623.78, avg=5155.94, count=4
  Iteration_Warmup: total=15290.74, avg=7645.37, count=2
  MLP_Backward: total=6413.84, avg=12.53, count=512
  Attention_Backward: total=4011.65, avg=7.84, count=512
  DP_ReduceScatter_Wait: total=3689.55, avg=922.39, count=4
  Main_ReduceScatter_Wait: total=3665.12, avg=916.28, count=4
  MLP_Forward: total=3414.05, avg=6.67, count=512
  Attention_Forward: total=2582.23, avg=5.04, count=512
  DP_AllGather_Wait: total=1892.30, avg=473.07, count=4
  Main_AllGather_Wait: total=1822.52, avg=455.63, count=4
  SP_AllGather_Backward: total=1485.77, avg=1.45, count=1024
  SP_AllGather_Forward: total=1440.00, avg=1.41, count=1024
  Logits_Forward: total=1193.71, avg=74.61, count=16
  SP_AllGather_Backward_Recompute: total=1136.43, avg=1.11, count=1024
  SP_ReduceScatter_Backward: total=1126.67, avg=1.10, count=1024
  SP_ReduceScatter_Forward: total=1124.91, avg=1.10, count=1024
  Loss_Softmax_Forward: total=701.68, avg=43.86, count=16
  Optimizer_Step: total=683.39, avg=113.90, count=6
  Logits_Backward: total=543.63, avg=33.98, count=16
  Layer_32_Total_Backward_Detailed: total=340.18, avg=21.26, count=16
  Layer_4_Total_Backward_Detailed: total=335.10, avg=20.94, count=16
  Layer_17_Total_Backward_Detailed: total=334.60, avg=20.91, count=16
  Layer_22_Total_Backward_Detailed: total=333.61, avg=20.85, count=16
  Layer_16_Total_Backward_Detailed: total=332.98, avg=20.81, count=16
  Layer_10_Total_Backward_Detailed: total=332.79, avg=20.80, count=16
  Layer_12_Total_Backward_Detailed: total=331.99, avg=20.75, count=16
  Layer_28_Total_Backward_Detailed: total=331.74, avg=20.73, count=16
  Layer_1_Total_Backward_Detailed: total=331.66, avg=20.73, count=16
  Layer_8_Total_Backward_Detailed: total=331.64, avg=20.73, count=16
  Layer_6_Total_Backward_Detailed: total=331.05, avg=20.69, count=16
  Layer_25_Total_Backward_Detailed: total=330.70, avg=20.67, count=16
  Layer_18_Total_Backward_Detailed: total=330.68, avg=20.67, count=16
  Layer_13_Total_Backward_Detailed: total=330.44, avg=20.65, count=16
  Layer_2_Total_Backward_Detailed: total=330.41, avg=20.65, count=16
  Layer_30_Total_Backward_Detailed: total=330.39, avg=20.65, count=16
  Layer_7_Total_Backward_Detailed: total=330.35, avg=20.65, count=16
  Layer_24_Total_Backward_Detailed: total=330.25, avg=20.64, count=16
  Layer_20_Total_Backward_Detailed: total=330.17, avg=20.64, count=16
  Layer_31_Total_Backward_Detailed: total=330.13, avg=20.63, count=16
  Layer_15_Total_Backward_Detailed: total=330.01, avg=20.63, count=16
  Layer_14_Total_Backward_Detailed: total=329.89, avg=20.62, count=16
  Layer_19_Total_Backward_Detailed: total=329.62, avg=20.60, count=16
  Layer_26_Total_Backward_Detailed: total=329.58, avg=20.60, count=16
  Layer_9_Total_Backward_Detailed: total=329.18, avg=20.57, count=16
  Layer_23_Total_Backward_Detailed: total=328.82, avg=20.55, count=16
  Layer_29_Total_Backward_Detailed: total=328.68, avg=20.54, count=16
  Layer_5_Total_Backward_Detailed: total=328.08, avg=20.51, count=16
  Layer_3_Total_Backward_Detailed: total=327.96, avg=20.50, count=16
  Layer_11_Total_Backward_Detailed: total=327.93, avg=20.50, count=16
  Layer_21_Total_Backward_Detailed: total=327.82, avg=20.49, count=16
  Layer_27_Total_Backward_Detailed: total=327.07, avg=20.44, count=16
  Layer_32_Total_Backward_Detailed_unprofiled: total=311.96, avg=19.50, count=16
  Layer_31_Total_Backward_Detailed_unprofiled: total=302.50, avg=18.91, count=16
  Layer_30_Total_Backward_Detailed_unprofiled: total=302.12, avg=18.88, count=16
  Layer_29_Total_Backward_Detailed_unprofiled: total=302.11, avg=18.88, count=16
  Layer_27_Total_Backward_Detailed_unprofiled: total=301.99, avg=18.87, count=16
  Layer_28_Total_Backward_Detailed_unprofiled: total=301.99, avg=18.87, count=16
  Layer_12_Total_Backward_Detailed_unprofiled: total=301.81, avg=18.86, count=16
  Layer_17_Total_Backward_Detailed_unprofiled: total=301.75, avg=18.86, count=16
  Layer_2_Total_Backward_Detailed_unprofiled: total=301.74, avg=18.86, count=16
  Layer_26_Total_Backward_Detailed_unprofiled: total=301.74, avg=18.86, count=16
  Layer_10_Total_Backward_Detailed_unprofiled: total=301.74, avg=18.86, count=16
  Layer_13_Total_Backward_Detailed_unprofiled: total=301.72, avg=18.86, count=16
  Layer_16_Total_Backward_Detailed_unprofiled: total=301.71, avg=18.86, count=16
  Layer_15_Total_Backward_Detailed_unprofiled: total=301.71, avg=18.86, count=16
  Layer_23_Total_Backward_Detailed_unprofiled: total=301.70, avg=18.86, count=16
  Layer_9_Total_Backward_Detailed_unprofiled: total=301.70, avg=18.86, count=16
  Layer_14_Total_Backward_Detailed_unprofiled: total=301.69, avg=18.86, count=16
  Layer_18_Total_Backward_Detailed_unprofiled: total=301.66, avg=18.85, count=16
  Layer_11_Total_Backward_Detailed_unprofiled: total=301.63, avg=18.85, count=16
  Layer_8_Total_Backward_Detailed_unprofiled: total=301.63, avg=18.85, count=16
  Layer_6_Total_Backward_Detailed_unprofiled: total=301.61, avg=18.85, count=16
  Layer_25_Total_Backward_Detailed_unprofiled: total=301.55, avg=18.85, count=16
  Layer_7_Total_Backward_Detailed_unprofiled: total=301.55, avg=18.85, count=16
  Layer_5_Total_Backward_Detailed_unprofiled: total=301.54, avg=18.85, count=16
  Layer_3_Total_Backward_Detailed_unprofiled: total=301.54, avg=18.85, count=16
  Layer_24_Total_Backward_Detailed_unprofiled: total=301.48, avg=18.84, count=16
  Layer_20_Total_Backward_Detailed_unprofiled: total=301.46, avg=18.84, count=16
  Layer_4_Total_Backward_Detailed_unprofiled: total=301.45, avg=18.84, count=16
  Layer_19_Total_Backward_Detailed_unprofiled: total=301.44, avg=18.84, count=16
  Layer_21_Total_Backward_Detailed_unprofiled: total=301.44, avg=18.84, count=16
  Layer_22_Total_Backward_Detailed_unprofiled: total=301.43, avg=18.84, count=16
  Layer_1_Total_Backward_Detailed_unprofiled: total=300.65, avg=18.79, count=16
  Layer_1_Total_Forward_Detailed: total=223.72, avg=13.98, count=16
  Layer_24_Total_Forward_Detailed: total=202.91, avg=12.68, count=16
  Layer_9_Total_Forward_Detailed: total=200.57, avg=12.54, count=16
  Layer_8_Total_Forward_Detailed: total=200.38, avg=12.52, count=16
  Layer_20_Total_Forward_Detailed: total=199.98, avg=12.50, count=16
  Layer_7_Total_Forward_Detailed: total=199.97, avg=12.50, count=16
  Layer_5_Total_Forward_Detailed: total=199.04, avg=12.44, count=16
  Layer_21_Total_Forward_Detailed: total=198.30, avg=12.39, count=16
  Layer_4_Total_Forward_Detailed: total=197.94, avg=12.37, count=16
  Layer_25_Total_Forward_Detailed: total=197.80, avg=12.36, count=16
  Layer_6_Total_Forward_Detailed: total=197.78, avg=12.36, count=16
  Layer_2_Total_Forward_Detailed: total=197.69, avg=12.36, count=16
  Layer_11_Total_Forward_Detailed: total=197.48, avg=12.34, count=16
  Layer_22_Total_Forward_Detailed: total=197.25, avg=12.33, count=16
  Layer_23_Total_Forward_Detailed: total=197.24, avg=12.33, count=16
  Layer_13_Total_Forward_Detailed: total=197.18, avg=12.32, count=16
  Layer_10_Total_Forward_Detailed: total=196.82, avg=12.30, count=16
  Layer_29_Total_Forward_Detailed: total=196.60, avg=12.29, count=16
  Layer_19_Total_Forward_Detailed: total=196.34, avg=12.27, count=16
  Layer_3_Total_Forward_Detailed: total=196.13, avg=12.26, count=16
  Layer_27_Total_Forward_Detailed: total=195.83, avg=12.24, count=16
  Layer_26_Total_Forward_Detailed: total=195.66, avg=12.23, count=16
  Layer_18_Total_Forward_Detailed: total=195.17, avg=12.20, count=16
  Layer_32_Total_Forward_Detailed: total=195.02, avg=12.19, count=16
  Layer_30_Total_Forward_Detailed: total=194.93, avg=12.18, count=16
  Layer_16_Total_Forward_Detailed: total=194.92, avg=12.18, count=16
  Layer_17_Total_Forward_Detailed: total=194.35, avg=12.15, count=16
  Layer_12_Total_Forward_Detailed: total=194.34, avg=12.15, count=16
  Layer_28_Total_Forward_Detailed: total=193.88, avg=12.12, count=16
  Layer_14_Total_Forward_Detailed: total=193.86, avg=12.12, count=16
  Layer_31_Total_Forward_Detailed: total=193.78, avg=12.11, count=16
  Layer_15_Total_Forward_Detailed: total=193.02, avg=12.06, count=16
  Layer_22_Total_Forward_Detailed_unprofiled: total=166.28, avg=10.39, count=16
  Layer_15_Total_Forward_Detailed_unprofiled: total=166.19, avg=10.39, count=16
  Layer_14_Total_Forward_Detailed_unprofiled: total=166.17, avg=10.39, count=16
  Layer_23_Total_Forward_Detailed_unprofiled: total=166.16, avg=10.38, count=16
  Layer_13_Total_Forward_Detailed_unprofiled: total=166.15, avg=10.38, count=16
  Layer_21_Total_Forward_Detailed_unprofiled: total=166.15, avg=10.38, count=16
  Layer_12_Total_Forward_Detailed_unprofiled: total=166.15, avg=10.38, count=16
  Layer_25_Total_Forward_Detailed_unprofiled: total=166.12, avg=10.38, count=16
  Layer_26_Total_Forward_Detailed_unprofiled: total=166.12, avg=10.38, count=16
  Layer_8_Total_Forward_Detailed_unprofiled: total=166.09, avg=10.38, count=16
  Layer_6_Total_Forward_Detailed_unprofiled: total=166.09, avg=10.38, count=16
  Layer_11_Total_Forward_Detailed_unprofiled: total=166.08, avg=10.38, count=16
  Layer_24_Total_Forward_Detailed_unprofiled: total=166.08, avg=10.38, count=16
  Layer_16_Total_Forward_Detailed_unprofiled: total=166.07, avg=10.38, count=16
  Layer_20_Total_Forward_Detailed_unprofiled: total=166.07, avg=10.38, count=16
  Layer_18_Total_Forward_Detailed_unprofiled: total=166.05, avg=10.38, count=16
  Layer_17_Total_Forward_Detailed_unprofiled: total=166.02, avg=10.38, count=16
  Layer_19_Total_Forward_Detailed_unprofiled: total=166.01, avg=10.38, count=16
  Layer_28_Total_Forward_Detailed_unprofiled: total=166.00, avg=10.38, count=16
  Layer_7_Total_Forward_Detailed_unprofiled: total=166.00, avg=10.38, count=16
